ProtocolName: Exp_idot_source_DP
DateTime: 2022-02-25 18:02:23
SoftwareProductVersion: 1.7.9
SoftwareBuildVersion: 1.7.2021.1105


Source Plate ID: Exp_IDOT_001 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301A (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
DMSO                	D7     	L7        	0.0575    	0.038     	2   	0   	50 nL               	184       
DMSO                	E7     	N7        	0.0575    	0.038     	2   	0   	50 nL               	184       
DMSO                	F7     	C8        	0.017     	0.0425    	2   	0   	50 nL               	184       
DMSO                	G7     	E8        	0.017     	0.0425    	2   	0   	50 nL               	184       
DMSO                	H7     	G8        	0.017     	0.0425    	2   	0   	50 nL               	184       
DMSO                	A8     	I8        	0.044     	0.0425    	2   	0   	50 nL               	184       
DMSO                	B8     	K8        	0.044     	0.0425    	2   	0   	50 nL               	184       
DMSO                	C8     	M8        	0.044     	0.0425    	2   	0   	50 nL               	184       
DMSO                	D8     	D8        	0.0215    	0.0425    	2   	0   	50 nL               	184       
DMSO                	E8     	F8        	0.0215    	0.0425    	2   	0   	50 nL               	184       
DMSO                	F8     	H8        	0.0215    	0.0425    	0   	2   	50 nL               	184       
DMSO                	G8     	J8        	0.0215    	0.0425    	2   	0   	50 nL               	184       
DMSO                	H8     	L8        	0.0215    	0.0425    	0   	2   	50 nL               	184       
DMSO                	A9     	N8        	0.0665    	0.0425    	2   	0   	50 nL               	184       
Water               	B9     	C9        	0.017     	0.047     	1   	1   	50 nL               	132       
Water               	C9     	E9        	0.017     	0.047     	2   	0   	50 nL               	132       
Water               	D9     	G9        	0.017     	0.047     	2   	0   	50 nL               	132       
Water               	E9     	I9        	0.017     	0.047     	2   	0   	50 nL               	132       
Water               	F9     	K9        	0.017     	0.047     	2   	0   	50 nL               	132       
Water               	G9     	M9        	0.017     	0.047     	2   	0   	50 nL               	132       
Water               	H9     	D9        	0.0215    	0.047     	2   	0   	50 nL               	132       
Water               	A10    	F9        	0.0305    	0.047     	2   	0   	50 nL               	132       
Water               	B10    	H9        	0.0305    	0.047     	2   	0   	50 nL               	132       
Water               	C10    	J9        	0.0305    	0.047     	2   	0   	50 nL               	132       
Water               	D10    	L9        	0.0305    	0.047     	2   	0   	50 nL               	132       
Water               	E10    	N9        	0.0305    	0.047     	2   	0   	50 nL               	132       
Water               	G10    	E10       	0.026     	0.0515    	2   	0   	50 nL               	132       
Water               	H10    	G10       	0.026     	0.0515    	2   	0   	50 nL               	132       
Water               	H10    	D10       	0.0215    	0.0515    	2   	0   	50 nL               	132       
Water               	H10    	J10       	0.0485    	0.0515    	2   	0   	50 nL               	132       
Water               	H10    	M10       	0.062     	0.0515    	2   	0   	50 nL               	132       
Water               	A11    	I10       	0.044     	0.0515    	2   	0   	50 nL               	132       
Water               	B11    	K10       	0.044     	0.0515    	2   	0   	50 nL               	132       
Water               	D11    	H10       	0.0395    	0.0515    	2   	0   	50 nL               	132       
Water               	E11    	L10       	0.0575    	0.0515    	2   	0   	50 nL               	132       
Water               	F11    	N10       	0.0575    	0.0515    	2   	0   	50 nL               	132       
Water               	G11    	C11       	0.017     	0.056     	2   	0   	50 nL               	132       
Water               	H11    	E11       	0.017     	0.056     	2   	0   	50 nL               	132       
Water               	A12    	G11       	0.035     	0.056     	2   	0   	50 nL               	132       
Water               	B12    	I11       	0.035     	0.056     	0   	2   	50 nL               	132       
Water               	C12    	K11       	0.035     	0.056     	2   	0   	50 nL               	132       
Water               	D12    	M11       	0.035     	0.056     	2   	0   	50 nL               	132       
Water               	E12    	D11       	0.0215    	0.056     	2   	0   	50 nL               	132       
Water               	F12    	F11       	0.0215    	0.056     	2   	0   	50 nL               	132       
Water               	G12    	H11       	0.0215    	0.056     	2   	0   	50 nL               	132       
Water               	H12    	J11       	0.0215    	0.056     	2   	0   	50 nL               	132       


Source Plate ID: Exp_IDOT_002 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301B (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
Water               	A1     	L11       	0.0575    	0.056     	2   	0   	50 nL               	132       
Water               	B1     	N11       	0.0575    	0.056     	2   	0   	50 nL               	132       
DMSO                	C1     	C12       	0.017     	0.0605    	2   	0   	50 nL               	184       
DMSO                	D1     	E12       	0.017     	0.0605    	2   	0   	50 nL               	184       
DMSO                	E1     	G12       	0.017     	0.0605    	2   	0   	50 nL               	184       
DMSO                	F1     	I12       	0.017     	0.0605    	2   	0   	50 nL               	184       
DMSO                	G1     	K12       	0.017     	0.0605    	2   	0   	50 nL               	184       
DMSO                	H1     	M12       	0.017     	0.0605    	2   	0   	50 nL               	184       
DMSO                	A2     	D12       	0.0215    	0.0605    	2   	0   	50 nL               	184       
DMSO                	B2     	F12       	0.0215    	0.0605    	2   	0   	50 nL               	184       
DMSO                	C2     	H12       	0.0215    	0.0605    	2   	0   	50 nL               	184       
DMSO                	D2     	J12       	0.0215    	0.0605    	2   	0   	50 nL               	184       
DMSO                	E2     	L12       	0.0215    	0.0605    	2   	0   	50 nL               	184       
DMSO                	F2     	N12       	0.0215    	0.0605    	2   	0   	50 nL               	184       
DMSO                	G2     	C13       	0.017     	0.065     	2   	0   	50 nL               	184       
DMSO                	H2     	E13       	0.017     	0.065     	2   	0   	50 nL               	184       
DMSO                	A3     	I13       	0.044     	0.065     	2   	0   	50 nL               	184       
DMSO                	B3     	K13       	0.044     	0.065     	2   	0   	50 nL               	184       
DMSO                	C3     	F13       	0.0305    	0.065     	2   	0   	50 nL               	184       
DMSO                	D3     	H13       	0.0305    	0.065     	2   	0   	50 nL               	184       
DMSO                	E3     	L13       	0.0575    	0.065     	2   	0   	50 nL               	184       
DMSO                	F3     	N13       	0.0575    	0.065     	2   	0   	50 nL               	184       
DMSO                	G3     	C14       	0.017     	0.0695    	2   	0   	50 nL               	184       
DMSO                	H3     	E14       	0.017     	0.0695    	2   	0   	50 nL               	184       
DMSO                	A4     	G14       	0.035     	0.0695    	2   	0   	50 nL               	184       
DMSO                	B4     	I14       	0.035     	0.0695    	2   	0   	50 nL               	184       
DMSO                	C4     	K14       	0.035     	0.0695    	2   	0   	50 nL               	184       
DMSO                	D4     	M14       	0.035     	0.0695    	2   	0   	50 nL               	184       
DMSO                	E4     	D14       	0.0215    	0.0695    	2   	0   	50 nL               	184       
DMSO                	F4     	F14       	0.0215    	0.0695    	2   	0   	50 nL               	184       
DMSO                	G4     	H14       	0.0215    	0.0695    	2   	0   	50 nL               	184       
DMSO                	H4     	J14       	0.0215    	0.0695    	2   	0   	50 nL               	184       
DMSO                	A5     	L14       	0.0575    	0.0695    	2   	0   	50 nL               	184       
DMSO                	B5     	N14       	0.0575    	0.0695    	2   	0   	50 nL               	184       
DMSO                	C5     	C15       	0.017     	0.074     	2   	0   	50 nL               	184       
DMSO                	D5     	E15       	0.017     	0.074     	2   	0   	50 nL               	184       
DMSO                	E5     	G15       	0.017     	0.074     	2   	0   	50 nL               	184       
DMSO                	F5     	I15       	0.017     	0.074     	2   	0   	50 nL               	184       
DMSO                	G5     	K15       	0.017     	0.074     	2   	0   	50 nL               	184       
DMSO                	H5     	M15       	0.017     	0.074     	2   	0   	50 nL               	184       
DMSO                	A6     	D15       	0.0215    	0.074     	2   	0   	50 nL               	184       
DMSO                	B6     	F15       	0.0215    	0.074     	2   	0   	50 nL               	184       
DMSO                	C6     	H15       	0.0215    	0.074     	2   	0   	50 nL               	184       
DMSO                	D6     	J15       	0.0215    	0.074     	2   	0   	50 nL               	184       
DMSO                	E6     	L15       	0.0215    	0.074     	2   	0   	50 nL               	184       
